feature,ic,abs_ic
Low,0.9996396359147636,0.9996396359147636
High,0.9996317147336689,0.9996317147336689
Open,0.9995492009891054,0.9995492009891054
MA_5,0.9994063252847101,0.9994063252847101
EMA_12,0.9991160947792295,0.9991160947792295
MA_10,0.9990287496581162,0.9990287496581162
EMA_26,0.9983285136650089,0.9983285136650089
MA_20,0.9982559982558312,0.9982559982558312
MA_60,0.9952486432206942,0.9952486432206942
Volume,0.8821567356823875,0.8821567356823875
MACD_signal,0.2995325739830749,0.2995325739830749
MACD,0.2832368640573187,0.2832368640573187
Volatility_10,0.11204818848237606,0.11204818848237606
Close_to_MA_60,0.10984683154069087,0.10984683154069087
HL_range_pct,0.10559913796186182,0.10559913796186182
Close_to_EMA_26,0.07586124382079618,0.07586124382079618
Close_to_MA_20,0.058479147153864416,0.058479147153864416
Close_to_EMA_12,0.053967859197166,0.053967859197166
Close_to_MA_10,0.042329730960487054,0.042329730960487054
STOCH_K_14,0.03804528612888631,0.03804528612888631
RSI_14,0.030207234763699777,0.030207234763699777
Close_to_MA_5,0.02855621740351043,0.02855621740351043
RSI_12,0.027907849953309517,0.027907849953309517
RSI_6,0.022138295591696302,0.022138295591696302
Return_1d,0.014992996052211823,0.014992996052211823
LogReturn_1d,0.014283792532260172,0.014283792532260172
MACD_hist,0.0022450433511493474,0.0022450433511493474
OC_change_pct,-0.001013754893805318,0.001013754893805318
