feature,ic,abs_ic
Low,0.9993887027417057,0.9993887027417057
High,0.9993723085914664,0.9993723085914664
Open,0.9992373398626752,0.9992373398626752
MA_5,0.9989902905090273,0.9989902905090273
EMA_12,0.9985673879594654,0.9985673879594654
MA_10,0.9983828581989725,0.9983828581989725
EMA_26,0.9974236953414369,0.9974236953414369
MA_20,0.9972854126026803,0.9972854126026803
MA_60,0.993034690969205,0.993034690969205
MACD_signal,0.3578452034141656,0.3578452034141656
MACD,0.3394084645125039,0.3394084645125039
Volatility_10,0.2735404265894887,0.2735404265894887
HL_range_pct,0.20306060208729024,0.20306060208729024
Close_to_MA_60,0.15430638027140844,0.15430638027140844
Close_to_EMA_26,0.10888009561818315,0.10888009561818315
Close_to_MA_20,0.08497264287481847,0.08497264287481847
Close_to_EMA_12,0.07551282537957407,0.07551282537957407
Close_to_MA_10,0.06073381490016613,0.06073381490016613
RSI_14,0.043182180465239244,0.043182180465239244
Close_to_MA_5,0.04104156630360092,0.04104156630360092
RSI_12,0.03999329822881087,0.03999329822881087
RSI_6,0.038260359059833854,0.038260359059833854
STOCH_K_14,0.028277119548333365,0.028277119548333365
Return_1d,0.02251303005330678,0.02251303005330678
LogReturn_1d,0.020036191002666903,0.020036191002666903
MACD_hist,0.012123740558125002,0.012123740558125002
OC_change_pct,-0.004309922249253658,0.004309922249253658
