feature,ic,abs_ic
Low,0.9996677287292906,0.9996677287292906
High,0.9996668551471714,0.9996668551471714
Open,0.9995957152122813,0.9995957152122813
MA_5,0.9994609708330282,0.9994609708330282
EMA_12,0.9992078366254853,0.9992078366254853
MA_10,0.9991255453517544,0.9991255453517544
EMA_26,0.9985466331163172,0.9985466331163172
MA_20,0.9984418477120429,0.9984418477120429
MA_60,0.996132047197867,0.996132047197867
MACD_signal,0.28052749316727205,0.28052749316727205
MACD,0.26583132419012134,0.26583132419012134
Volume,0.2502725025277779,0.2502725025277779
Close_to_MA_60,0.1130461513195226,0.1130461513195226
Close_to_EMA_26,0.08133802675104825,0.08133802675104825
STOCH_K_14,0.06786583530535983,0.06786583530535983
Close_to_MA_20,0.06241986690483479,0.06241986690483479
Close_to_EMA_12,0.05894176436288829,0.05894176436288829
RSI_14,0.05183925997635431,0.05183925997635431
RSI_12,0.04868976034612683,0.04868976034612683
Close_to_MA_10,0.04582310399338165,0.04582310399338165
HL_range_pct,-0.0418819021928189,0.0418819021928189
RSI_6,0.03872163464503618,0.03872163464503618
Close_to_MA_5,0.030843365108480795,0.030843365108480795
Volatility_10,-0.019530831120938976,0.019530831120938976
LogReturn_1d,0.015182651491969646,0.015182651491969646
Return_1d,0.014906142406170374,0.014906142406170374
MACD_hist,0.007825376886960729,0.007825376886960729
OC_change_pct,-0.0015237031528007971,0.0015237031528007971
