feature,ic,abs_ic
High,0.9949734172978785,0.9949734172978785
Low,0.9948966543282584,0.9948966543282584
Open,0.9948664449131429,0.9948664449131429
MA_5,0.9947382858313187,0.9947382858313187
EMA_12,0.9944686672360205,0.9944686672360205
MA_10,0.994385349287351,0.994385349287351
EMA_26,0.9937318182552999,0.9937318182552999
MA_20,0.9936058626745747,0.9936058626745747
MA_60,0.9908707700466871,0.9908707700466871
Volume,0.8842682056391726,0.8842682056391726
MACD_signal,0.29617678894565364,0.29617678894565364
MACD,0.27830106463643606,0.27830106463643606
Volatility_10,0.12915333324771744,0.12915333324771744
HL_range_pct,0.11930349644268542,0.11930349644268542
Close_to_MA_60,0.10439077796398413,0.10439077796398413
Close_to_EMA_26,0.07085162074037064,0.07085162074037064
Close_to_MA_20,0.05362431845132805,0.05362431845132805
Close_to_EMA_12,0.049986723905520794,0.049986723905520794
Close_to_MA_10,0.038878110753437264,0.038878110753437264
STOCH_K_14,0.032270871215995284,0.032270871215995284
RSI_14,0.028412765879105503,0.028412765879105503
Close_to_MA_5,0.02748546112161673,0.02748546112161673
RSI_12,0.02540426460141277,0.02540426460141277
RSI_6,0.01718661330727384,0.01718661330727384
Return_1d,0.015727423252132777,0.015727423252132777
LogReturn_1d,0.014815164101246532,0.014815164101246532
MACD_hist,-0.003952411786967282,0.003952411786967282
OC_change_pct,-0.0009187607486141759,0.0009187607486141759
