feature,ic,abs_ic
High,0.9924661449990397,0.9924661449990397
Low,0.9924025863100957,0.9924025863100957
Open,0.992336762846705,0.992336762846705
MA_5,0.9922062653764614,0.9922062653764614
EMA_12,0.9918118102151778,0.9918118102151778
MA_10,0.9916907946347345,0.9916907946347345
EMA_26,0.9907703690065855,0.9907703690065855
MA_20,0.990477758915338,0.990477758915338
MA_60,0.9869219780388143,0.9869219780388143
MACD_signal,0.34184821426361756,0.34184821426361756
MACD,0.32152932290760294,0.32152932290760294
Volatility_10,0.2802732494699948,0.2802732494699948
HL_range_pct,0.21406808384829035,0.21406808384829035
Close_to_MA_60,0.14194380415990263,0.14194380415990263
Close_to_EMA_26,0.09779526644206792,0.09779526644206792
Close_to_MA_20,0.07479614857195407,0.07479614857195407
Close_to_EMA_12,0.06630055347689943,0.06630055347689943
Close_to_MA_10,0.05223795765746108,0.05223795765746108
RSI_14,0.039263561697079535,0.039263561697079535
Close_to_MA_5,0.03663095046502538,0.03663095046502538
RSI_12,0.03505526049645358,0.03505526049645358
RSI_6,0.02782223762919228,0.02782223762919228
Return_1d,0.021794956936173122,0.021794956936173122
STOCH_K_14,0.020741600168178505,0.020741600168178505
LogReturn_1d,0.019061755467297156,0.019061755467297156
OC_change_pct,-0.0037196041909116425,0.0037196041909116425
MACD_hist,0.0009407185018069395,0.0009407185018069395
